,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
150,80000,False,False,False,False,False,False,False,False,False,True,False,False,805000,False,False,True,False,False,False,False
151,65000,False,False,False,False,False,False,False,True,False,False,False,False,2625000,True,False,False,False,False,False,False
152,25000,False,False,False,False,False,False,True,False,False,False,False,False,811000,False,False,True,False,False,False,False
153,40000,False,False,False,False,True,False,False,False,False,False,False,False,375000,False,False,True,False,False,False,False
154,20000,False,False,False,False,True,False,False,False,False,False,False,False,550000,False,False,True,False,False,False,False
155,110000,False,False,False,False,False,False,False,False,False,True,False,False,645000,False,False,True,False,False,False,False
156,94000,False,False,False,False,True,False,False,False,False,False,False,False,2550000,False,False,True,False,False,False,False
157,110000,False,False,True,False,False,False,False,False,False,False,False,False,599000,False,False,True,False,False,False,False
158,85000,False,False,False,False,False,False,True,False,False,False,False,False,2700000,False,False,True,False,False,False,False
159,120000,False,False,False,False,True,False,False,False,False,False,False,False,875000,False,False,True,False,False,False,False
160,9000,False,False,False,False,False,False,True,False,False,False,False,False,894999,False,False,True,False,False,False,False
161,90000,False,False,False,False,False,False,True,False,False,False,False,False,175000,False,False,True,False,False,False,False
162,58343,False,False,False,False,False,False,True,False,False,False,False,False,340000,False,False,True,False,False,False,False
163,40000,False,False,False,False,True,False,False,False,False,False,False,False,1525000,True,False,False,False,True,False,False
164,180000,False,False,True,False,False,False,False,False,False,False,False,False,1025000,True,False,False,False,False,False,False
165,50000,False,False,False,False,False,False,False,False,False,False,True,False,2150000,True,False,False,False,False,False,False
166,120000,False,False,False,False,True,False,False,False,False,False,False,False,1900000,False,False,True,False,False,False,False
167,5000,False,True,False,False,False,False,False,False,False,False,False,False,2900000,True,False,False,False,False,False,False
168,110000,False,False,False,False,True,False,False,False,False,False,False,False,450000,False,False,True,False,False,False,False
169,100000,False,False,False,False,False,False,False,False,False,True,False,False,850000,False,False,True,False,False,False,False
170,8500,False,False,False,False,False,False,False,False,False,False,False,False,10000000,False,False,True,False,False,False,False
171,25000,False,False,False,False,False,False,False,False,False,True,False,False,300000,True,False,False,False,True,False,False
172,4875,False,False,False,False,False,False,True,False,False,False,False,False,575000,False,False,True,False,False,False,False
173,185000,False,True,False,False,False,False,False,False,False,False,False,False,160000,True,False,False,False,False,False,False
174,5500,False,False,False,True,False,False,False,False,False,False,False,False,515000,False,False,True,False,False,False,False
175,35000,False,False,False,False,False,False,True,False,False,False,False,False,390000,False,False,True,False,True,False,False
176,90000,False,False,False,False,False,False,True,False,False,False,False,False,550000,False,False,True,False,True,False,False
177,31000,False,False,False,False,False,False,True,False,False,False,False,False,40000,False,False,True,False,True,False,False
178,50000,False,False,False,False,False,True,False,False,False,False,False,False,220000,True,False,False,False,False,False,False
179,10500,False,False,False,True,False,False,False,False,False,False,False,False,425000,False,False,True,False,False,False,False
180,70000,False,False,False,False,False,False,True,False,False,False,False,False,480000,False,False,True,False,False,False,False
181,120000,False,False,False,False,False,True,False,False,False,False,False,False,400000,False,False,True,False,True,False,False
182,120000,False,False,False,False,True,False,False,False,False,False,False,False,487000,False,False,True,False,False,False,False
183,70000,False,False,False,False,True,False,False,False,False,False,False,False,386000,False,False,True,False,True,False,False
184,5000,False,False,False,False,True,False,False,False,False,False,False,False,100000,False,False,True,False,True,False,False
185,99500,True,False,False,False,False,False,False,False,False,False,False,False,300000,True,False,False,False,False,False,False
186,50000,False,False,False,False,False,False,False,False,False,False,True,False,100000,False,False,True,False,False,False,False
187,24500,False,False,False,True,False,False,False,False,False,False,False,False,1750000,True,False,False,False,True,False,False
188,28832,False,False,False,False,False,False,True,False,False,False,False,False,450000,False,False,True,False,True,False,False
189,66530,False,False,False,False,False,False,True,False,False,False,False,False,490000,True,False,False,False,False,False,False
190,12000,False,True,False,False,False,False,False,False,False,False,False,False,345000,False,False,True,False,True,False,False
191,4295,False,False,False,False,False,False,False,False,False,False,True,False,85000,False,False,True,False,False,False,False
192,40000,False,False,False,False,False,False,True,False,False,False,False,False,215000,False,False,True,False,True,False,False
193,35008,False,False,False,False,False,False,True,False,False,False,False,False,320000,False,False,True,False,False,False,True
194,60000,False,False,False,False,False,False,True,False,False,False,False,False,459999,False,False,True,False,True,False,False
195,13000,False,True,False,False,False,False,False,False,False,False,False,False,65000,False,False,True,False,False,False,False
196,57000,False,False,False,False,False,False,True,False,False,False,False,False,720000,False,False,True,False,False,False,False
197,56290,False,False,False,False,True,False,False,False,False,False,False,False,800000,True,False,False,False,False,False,False
198,50000,False,False,False,True,False,False,False,False,False,False,False,False,520000,False,False,True,False,False,False,False
199,10000,False,False,False,False,True,False,False,False,False,False,False,False,580000,True,False,False,False,False,False,False
200,110000,False,False,False,False,False,True,False,False,False,False,False,False,235000,True,False,False,False,False,False,False
201,250000,False,False,False,False,False,False,False,False,False,False,True,False,600000,False,False,True,False,False,False,False
202,58000,False,False,False,False,False,False,True,False,False,False,False,False,290000,False,False,True,False,True,False,False
203,120000,False,False,True,False,False,False,False,False,False,False,False,False,360000,False,False,False,False,False,False,False
204,84000,False,False,False,False,False,False,False,False,False,False,False,True,550000,False,False,True,False,False,False,False
205,11000,False,False,False,False,False,False,False,False,True,False,False,False,375000,False,False,True,False,False,False,False
206,40000,False,True,False,False,False,False,False,False,False,False,False,False,40000,False,False,True,False,True,False,False
207,50000,False,False,False,False,False,False,False,False,False,True,False,False,420000,False,False,True,False,False,False,False
208,112879,False,False,True,False,False,False,False,False,False,False,False,False,550000,False,False,True,False,False,False,False
209,108000,False,False,False,False,False,False,True,False,False,False,False,False,270000,False,False,True,False,False,False,False
210,40000,False,False,True,False,False,False,False,False,False,False,False,False,700000,False,False,True,False,False,False,False
211,97000,False,False,False,True,False,False,False,False,False,False,False,False,500000,False,False,True,False,False,False,False
212,70000,False,False,False,False,False,False,True,False,False,False,False,False,1250000,True,False,False,False,False,False,False
213,30528,False,False,False,False,True,False,False,False,False,False,False,False,320000,False,False,True,False,True,False,False
214,40000,False,False,False,False,False,False,False,False,False,False,False,True,700000,True,False,False,False,False,False,False
215,50000,False,False,False,True,False,False,False,False,False,False,False,False,290000,False,False,True,False,False,False,False
216,18000,False,False,False,False,False,False,False,False,False,False,False,False,550000,False,False,True,False,False,False,False
217,17000,False,False,False,False,False,False,True,False,False,False,False,False,265000,False,False,True,False,False,False,False
218,100000,False,False,False,False,True,False,False,False,False,False,False,False,830000,False,False,True,False,False,False,False
219,96500,False,True,False,False,False,False,False,False,False,False,False,False,800000,True,False,False,False,False,False,False
220,56000,False,False,False,False,True,False,False,False,False,False,False,False,160000,False,False,True,False,True,False,False
221,47200,False,False,False,False,False,False,True,False,False,False,False,False,335000,False,False,True,False,False,False,False
222,156975,False,False,False,False,False,True,False,False,False,False,False,False,329000,False,False,True,False,True,False,False
223,110000,False,False,False,False,False,False,False,False,False,False,False,True,775000,True,False,False,False,False,False,False
